CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
8427,ESTRELA,ESTR,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,,269450,538900
8451,MARCOPOLO,POMO,Bens Industriais,Material de Transporte,Material Rodoviário,N2             ,341625744,605267138
20788,MARFRIG,MRFG,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,NM             ,711369913,0
22055,LOJAS MARISA,AMAR,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",NM             ,261666739,0
8540,MERC FINANC,MERC,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,,10179565,7830435
20613,METALFRIO,FRIO,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,NM             ,4106754,0
8605,METAL IGUACU,MTIG,Materiais Básicos,Embalagens,Embalagens,,80448,160896
8656,GERDAU MET,GOAU,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,N1             ,365111201,722132003
13439,RIOSULENSE,RSUL,Bens Industriais,Material de Transporte,Material Rodoviário,,343000,240000
8753,METISA,MTSA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,,4212530,4924733
22942,MGI PARTICIP,MGIP,Outros,Outros,Outros,,574438888,0
22012,MILLS,MILS,Bens Industriais,Construção e Engenharia,Serviços Diversos,NM             ,251907480,0
8818,MINASMAQUINA,MMAQ,Bens Industriais,Comércio,Material de Transporte,,22425,22425
20931,MINERVA,BEEF,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,NM             ,485622891,0
13765,MINUPAR,MNPR,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,,7100100,0
24902,MITRE REALTY,MTRE,Consumo Cíclico,Construção Civil,Incorporações,NM             ,105774820,0
17914,MMX MINER,MMXM,Materiais Básicos,Mineração,Minerais Metálicos,NM             ,6488183,0
8893,MONT ARANHA,MOAR,Financeiro,Holdings Diversificadas,Holdings Diversificadas,,12251221,0
21067,MOURA DUBEUX,MDNE,Consumo Cíclico,Construção Civil,Incorporações,NM             ,84909375,0
23825,MOVIDA,MOVI,Consumo Cíclico,Diversos,Aluguel de carros,NM             ,298921014,0
17949,MRS LOGIST,MRSA,Bens Industriais,Transporte,Transporte Ferroviário,MB             ,188332687,151667313
20915,MRV,MRVE,Consumo Cíclico,Construção Civil,Incorporações,NM             ,481953895,0
20982,MULTIPLAN,MULT,Financeiro,Exploração de Imóveis,Exploração de Imóveis,N2             ,565185834,35575041
5312,MUNDIAL,MNDL,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,,2480260,0
24783,GRUPO NATURA,NTCO,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,NM             ,1188807771,0
15539,NEOENERGIA,NEOE,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,1213797248,0
9083,NORDON MET,NORD,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,,6621486,0
22985,NORTCQUIMICA,NRTQ,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,MA,11877395,0
24384,INTERMEDICA,GNDI,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,603693182,0
21334,NUTRIPLANT,NUTR,Materiais Básicos,Químicos,Fertilizantes e Defensivos,MA             ,127944,0
22390,OCTANTE SEC,OCTS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,134889,0
20125,ODONTOPREV,ODPV,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,531294792,0
11312,OI,OIBR,Comunicações,Telecomunicações,Telecomunicações,N1,5796477760,157727241
23426,OMEGA GER,OMGE,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,170132930,0
16942,OPPORT ENERG,OPHE,Outros,Outros,Outros,MB             ,1816703827,0
21342,OSX BRASIL,OSXB,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,NM             ,3148038,0
23507,OUROFINO S/A,OFSA,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,NM             ,53949006,0
94,PANATLANTICA,PATI,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,,17487075,782695
20729,PARANA,PRBC,Financeiro,Intermediários Financeiros,Bancos,,1647843240,1609920560
9393,PARANAPANEMA,PMAM,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,NM             ,43403849,0
13773,PORTOBELLO,PTBL,Bens Industriais,Construção e Engenharia,Produtos para Construção,NM             ,158488517,0
21644,PDG SECURIT,PDGS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,36292213,0
20478,PDG REALT,PDGR,Consumo Cíclico,Construção Civil,Incorporações,NM             ,8066955,0
22187,PETRORIO,PRIO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",NM             ,144685660,0
24295,PETROBRAS BR,BRDT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",NM             ,1165000000,0
9512,PETROBRAS,PETR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",N2,7442454142,5602042788
9539,PETTENATI,PTNT,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,16016924,32029564
13471,PLASCAR PART,PLAS,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,,12425418,0
22160,POLO CAP SEC,PLSC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,500000,0
13447,POLPAR,PPAR,Outros,Outros,Outros,,34000,40000
19658,POMIFRUTAS,FRTA,Consumo não Cíclico,Agropecuária,Agricultura,NM             ,2001106,0
16659,PORTO SEGURO,PSSA,Financeiro,Previdência e Seguros,Seguradoras,NM             ,323293030,0
23523,PORTO VM,PSVM,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,,4060490071,0
20362,POSITIVO TEC,POSI,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,NM             ,141800000,0
24546,PRATICA,PTCA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,M2,3355031,373242
24236,PRINER,PRNR,Bens Industriais,Serviços Diversos,Serviços Diversos,MA,38044801,0
19232,PROMAN,PRMN,Utilidade Pública,Energia Elétrica,Energia Elétrica,MB             ,100000,0
20346,PROFARMA,PFRM,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,NM             ,123812773,0
18333,PROMPT PART,PRPT,Outros,Outros,Outros,MB             ,106815796,0
22497,QUALICORP,QUAL,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,284014325,0
23302,QUALITY SOFT,QUSW,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MA,861605,0
5258,RAIADROGASIL,RADL,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,NM             ,330386000,0
23230,RAIZEN ENERG,RESA,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,,7243283198,133342458
14109,RANDON PART,RAPT,Bens Industriais,Material de Transporte,Material Rodoviário,N1             ,116515527,229260282
18406,RBCAPITALRES,RBRA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,MB             ,7927248,0
18430,WTORRE PIC,WTPI,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,59396,10
12572,RECRUSUL,RCSL,Bens Industriais,Material de Transporte,Material Rodoviário,,25408950,50414424
3190,REDE ENERGIA,REDE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,2110323374,0
9989,PET MANGUINH,RPMG,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",,67691629,0
21636,RENOVA,RNEW,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,31352518,10367206
21440,LE LIS BLANC,LLIS,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",NM             ,68850829,0
16527,AES SUL,AESL,Utilidade Pública,Energia Elétrica,Energia Elétrica,,1125427,0
18368,GER PARANAP,GEPA,Utilidade Pública,Energia Elétrica,Energia Elétrica,,31477761,62955522
20451,RNI,RDNI,Consumo Cíclico,Construção Civil,Incorporações,NM             ,43769808,0
23167,ROD COLINAS,COLN,Bens Industriais,Transporte,Exploração de Rodovias,,74220000,0
16306,ROSSI RESID,RSID,Consumo Cíclico,Construção Civil,Incorporações,NM             ,17153337,0
15300,ALL NORTE,FRRN,Bens Industriais,Transporte,Transporte Ferroviário,MB             ,1107698070,81714293
17930,ALL PAULISTA,GASC,Bens Industriais,Transporte,Transporte Ferroviário,MB             ,133558874208,246966290171
17450,RUMO S.A.,RAIL,Bens Industriais,Transporte,Transporte Ferroviário,NM             ,1559015898,0
23540,SALUS INFRA,SAIP,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,,420000,0
19593,SANESALTO,SNST,Utilidade Pública,Água e Saneamento,Água e Saneamento,,14573546,0
12696,SANSUY,SNSY,Materiais Básicos,Materiais Diversos,Materiais Diversos,,66448,126463
14923,SANTHER,STTZ,Materiais Básicos,Madeira e Papel,Papel e Celulose,,16918,0
23388,STO ANTONIO,STEN,Utilidade Pública,Energia Elétrica,Energia Elétrica,,10000452329,0
17892,SANTOS BRP,STBP,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,N2             ,669798378,0
13781,SAO CARLOS,SCAR,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,57737319,0
20516,SAO MARTINHO,SMTO,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,NM             ,354011329,0
9415,SPTURIS,AHEB,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,,8407877,136017
10472,SARAIVA LIVR,SLED,Consumo Cíclico,Comércio,Produtos Diversos,N2             ,18620841,20325213
14664,SCHULZ,SHUL,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",,38173191,51170504
23221,SER EDUCA,SEER,Consumo Cíclico,Diversos,Serviços Educacionais,NM             ,128721560,0
12823,ALIPERTI,APTI,Consumo não Cíclico,Agropecuária,Agricultura,,6250,12345
22799,SINQIA,SQIA,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NM             ,70548812,0
20745,SLC AGRICOLA,SLCE,Consumo não Cíclico,Agropecuária,Agricultura,NM             ,190595000,0
24260,SMART FIT,SMFT,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,M2,14601763,6464424
24252,SMILES,SMLS,Consumo Cíclico,Diversos,Programas de Fidelização,NM             ,124158953,0
10880,SONDOTECNICA,SOND,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,,856000,1601900
10960,SPRINGER,SPRI,Financeiro,Holdings Diversificadas,Holdings Diversificadas,,1889004,640415
20966,SPRINGS,SGPS,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,NM             ,50000000,0
24201,STARA,STTR,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,MA,297498383,0
22594,STATKRAFT,STKF,Utilidade Pública,Energia Elétrica,Energia Elétrica,,218370694,0
16586,SUDESTE S/A,OPSE,Outros,Outros,Outros,MB             ,126178324,0
16438,SUL 116 PART,OPTS,Outros,Outros,Outros,MB             ,83596902573,0
21121,SUL AMERICA,SULA,Financeiro,Previdência e Seguros,Seguradoras,N2             ,592688393,589773510
9067,SUZANO HOLD,NEMO,Materiais Básicos,Madeira e Papel,Papel e Celulose,,75034146,97893157
13986,SUZANO S.A.,SUZB,Materiais Básicos,Madeira e Papel,Papel e Celulose,NM             ,1361263584,0
22454,TIME FOR FUN,SHOW,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,NM             ,67500665,0
6173,TAURUS ARMAS,TASA,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,N2             ,46445314,42042380
22519,TECHNOS,TECN,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,NM             ,78506215,0
20435,TECNISA,TCSA,Consumo Cíclico,Construção Civil,Incorporações,NM             ,73619230,0
11207,TECNOSOLO,TCNO,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,,2353672,4266666
20800,TEGMA,TGMA,Bens Industriais,Transporte,Transporte Rodoviário,NM             ,66002915,0
11223,TEKA,TEKA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,167915,335240
11231,TEKNO,TKNO,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,,1587101,1360709
11258,TELEBRAS,TELB,Comunicações,Telecomunicações,Telecomunicações,,49457271,18407491
17671,TELEF BRASIL,VIVT,Comunicações,Telecomunicações,Telecomunicações,,571644217,1119340706
23329,TERM. PE III,TEPE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,26162996,0
18538,MENEZES CORT,MNZC,Financeiro,Exploração de Imóveis,Exploração de Imóveis,MB             ,526308,0
19852,TERMOPE,TMPE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,571815320,0
20354,TERRA SANTA,TESA,Consumo não Cíclico,Agropecuária,Agricultura,NM             ,21656539,0
7544,TEX RENAUX,TXRX,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,1456603,2802678
17639,TIM PART S/A,TIMP,Comunicações,Telecomunicações,Telecomunicações,NM             ,2421032479,0
19992,TOTVS,TOTS,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NM             ,577913181,0
19330,TRIUNFO PART,TPIS,Bens Industriais,Transporte,Exploração de Rodovias,NM             ,176000000,0
20257,TAESA,TAEE,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,590714069,442782652
8192,TREVISA,LUXM,Bens Industriais,Transporte,Transporte Hidroviário,,2298000,2898000
23060,TRIANGULOSOL,TRIA,Bens Industriais,Transporte,Exploração de Rodovias,,610000,0
21130,TRISUL,TRIS,Consumo Cíclico,Construção Civil,Incorporações,NM             ,186617538,0
11398,CRISTAL,CRPG,Materiais Básicos,Químicos,Químicos Diversos,,10158398,18860349
22276,TRUESEC,APCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,400000,0
6343,TUPY,TUPY,Bens Industriais,Material de Transporte,Material Rodoviário,NM             ,144177500,0
18465,ULTRAPAR,UGPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",NM             ,1114918734,0
22780,UNICASA,UCAS,Consumo Cíclico,Utilidades Domésticas,Móveis,NM             ,66086364,0
21555,UNIDAS,UNID,Consumo Cíclico,Diversos,Aluguel de carros,,63306883,0
11592,UNIPAR,UNIP,Materiais Básicos,Químicos,Químicos Diversos,,34461770,63356402
16624,UPTICK,UPKP,Utilidade Pública,Energia Elétrica,Energia Elétrica,MB             ,52437003,0
14320,USIMINAS,USIM,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,N1             ,705260684,547818424
4170,VALE,VALE,Materiais Básicos,Mineração,Minerais Metálicos,NM             ,5284474770,12
20028,VALID,VLID,Bens Industriais,Serviços Diversos,Serviços Diversos,NM             ,71225000,0
23990,VERTCIASEC,VERT,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,100000,11
6505,VIAVAREJO,VVAR,Consumo Cíclico,Comércio,Eletrodomésticos,NM             ,1300016941,0
24805,VIVARA S.A.,VIVA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,NM             ,236197769,0
20702,VIVER,VIVR,Consumo Cíclico,Construção Civil,Incorporações,NM             ,46572036,0
11762,VULCABRAS,VULC,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,NM             ,245756346,0
5410,WEG,WEGE,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",NM             ,2098658999,0
11991,WETZEL S/A,MWET,Bens Industriais,Material de Transporte,Material Rodoviário,,686001,1372002
14346,WHIRLPOOL,WHRL,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos,,1028700892,474085114
23590,WIZ S.A.,WIZS,Financeiro,Previdência e Seguros,Corretoras de Seguros,NM             ,159907282,0
11070,WLM IND COM,WLMM,Bens Industriais,Comércio,Material de Transporte,,16571220,19843450
21016,YDUQS PART,YDUQ,Consumo Cíclico,Diversos,Serviços Educacionais,NM             ,618177702,0
