CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
4820,BRASKEM,BRKM,Materiais Básicos,Químicos,Petroquímicos,N1             ,451668652,345549902
19720,BRAZIL REALT,BZRS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,614879,0
17922,BRAZILIAN FR,BFRE,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,,239,478
18759,BRAZILIAN SC,BSCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,77864966,0
14206,BRB BANCO,BSLI,Financeiro,Intermediários Financeiros,Bancos,,28014650,8290000
20672,BRC SECURIT,BRCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,453440,0
16292,BRF SA,BRFS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,NM             ,812473246,0
19984,BRPR 56 SEC,WTVR,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,388374,0
23817,BRQ,BRQB,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MA,132514910,0
20133,BV LEASING,BVLS,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,,510404,0
19119,CABINDA PART,CABI,Outros,Outros,Outros,MB             ,2368000,4736000
22683,CACHOEIRA,CPTE,Utilidade Pública,Energia Elétrica,Energia Elétrica,MB             ,76281111,0
19135,CACONDE PART,CACO,Outros,Outros,Outros,MB             ,613211,1226542
2100,CAMBUCI,CAMB,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,,41980080,0
24228,CAMIL,CAML,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,NM             ,370000000,0
17493,CAPITALPART,CPTP,Outros,Outros,Outros,MB             ,143243,0
18821,CCR SA,CCRO,Bens Industriais,Transporte,Exploração de Rodovias,NM             ,2020000000,0
24848,CEA MODAS,CEAB,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",NM             ,308245068,0
13854,CEMEPE,MAPT,Outros,Outros,Outros,,454455,464440
20303,CEMIG DIST,CMGD,Utilidade Pública,Energia Elétrica,Energia Elétrica,,2359113452,0
20320,CEMIG GT,CMGT,Utilidade Pública,Energia Elétrica,Energia Elétrica,,2896785358,0
2437,ELETROBRAS,ELET,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,1288842596,280088314
2461,CELESC,CLSC,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,15527137,23044454
24058,ALLIAR,AALR,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,118292816,0
2577,CESP,CESP,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,109167801,218334872
14826,P.ACUCAR-CBD,PCAR,Consumo não Cíclico,Comércio e Distribuição,Alimentos,N1             ,268049496,0
16861,CASAN,CASN,Utilidade Pública,Água e Saneamento,Água e Saneamento,,357547216,357547216
21393,CELGPAR,GPAR,Utilidade Pública,Energia Elétrica,Energia Elétrica,,77928432,0
16616,CEG,CEGR,Utilidade Pública,Gás,Gás,,259637732,0
14524,COELBA,CEEB,Utilidade Pública,Energia Elétrica,Energia Elétrica,,151997609,110098478
14451,CEB,CEBR,Utilidade Pública,Energia Elétrica,Energia Elétrica,,7184178,7232205
2453,CEMIG,CMIG,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,487614213,971138388
14362,CELPE,CEPE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,66302693,8309695
14869,COELCE,COCE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,48067937,29787362
18139,COSERN,CSRN,Utilidade Pública,Energia Elétrica,Energia Elétrica,,129746219,38327809
20648,CEEE-D,CEED,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,9516732,164014
3204,CEEE-GT,EEEL,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,9516732,164014
3069,FERBASA,FESA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,N1             ,29440000,58880000
3077,CEDRO,CEDO,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,N1             ,5707104,4292896
15636,COMGAS,CGAS,Utilidade Pública,Gás,Gás,,103862768,28657819
3298,HABITASUL,HBTS,Financeiro,Exploração de Imóveis,Exploração de Imóveis,,3152764,5980923
14761,CIA HERING,HGTX,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário,NM             ,162533937,0
3395,IND CATAGUAS,CATA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,144198,1109
22691,LOCAMERICA,LCAM,Consumo Cíclico,Diversos,Aluguel de carros,NM             ,508729411,0
3654,MELHOR SP,MSPA,Materiais Básicos,Madeira e Papel,Papel e Celulose,,5631445,773504
14311,COPEL,CPLE,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,145031080,128624295
18708,PAR AL BAHIA,PEAB,Financeiro,Holdings Diversificadas,Holdings Diversificadas,,6425139,6425139
3824,PAUL F LUZ,PALF,Utilidade Pública,Energia Elétrica,Energia Elétrica,,880653031,0
19275,CPFL PIRATIN,CPFP,Utilidade Pública,Energia Elétrica,Energia Elétrica,,53096770180,0
14443,SABESP,SBSP,Utilidade Pública,Água e Saneamento,Água e Saneamento,NM             ,683509869,0
19445,COPASA,CSMG,Utilidade Pública,Água e Saneamento,Água e Saneamento,NM             ,126751023,0
18627,SANEPAR,SAPR,Utilidade Pública,Água e Saneamento,Água e Saneamento,N2             ,503735259,1007470260
3115,SEG AL BAHIA,CSAB,Financeiro,Previdência e Seguros,Seguradoras,,3840000,3840000
4030,SID NACIONAL,CSNA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,,1387524047,0
3158,COTEMINAS,CTNM,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,13912800,16723657
4081,SANTANENSE,CTSA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,38041111,1258019
21733,CIELO,CIEL,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,NM             ,2716815061,0
14818,CIMS,CMSA,Outros,Outros,Outros,,12799820,25599480
