CD_CONTA,NM_VAR
3.01,Revenue
3.02,COGS
3.03,GrossProfit
3.05,EBIT
3.06,InterestIncome
3.06.02,InterestExpenses
3.07,EBT
3.08,Taxes
3.11.01,NetIncome
1.01.01,Cash
1.01.02,Cash
2.01.04,Debt
2.02.01,Debt
2.01.06,Provision
2.02.04,Provision
2.03,StakeholderEquity
2.03.09,MinorityInterests
